year,month,day,hour,minute,second,latitude,longitude,depth,magnitude
2012,3,4,16,27,21,-21.554,-69.848,46.2,5.2
2012,3,2,19,29,49,-21.536,-69.07,175.6,4.3
2012,2,28,7,54,11,-21.022,-69.1,107.5,4.5
2012,2,26,8,8,52,-18.811,-69.29,108.5,5.4
2012,2,21,15,46,22,-20.029,-70.061,43.6,4.6
2012,2,17,12,30,46,-21.091,-69.102,115.5,4.1
2012,2,14,14,8,40,-18.257,-69.408,126.1,4.6
2012,2,14,2,15,38,-18.182,-69.682,120.4,4.8
2012,2,3,0,5,26,-19.279,-70.111,55.7,4.2
2012,2,2,10,56,50,-20.844,-69.084,109.2,4.4
2012,1,29,16,44,39,-21.561,-68.226,125.4,4.4
2012,1,22,19,51,0,-18.847,-69.405,121.9,4.3
2012,1,15,23,51,11,-20.26,-70.324,54.1,4.9
2012,1,9,7,15,31,-21.349,-68.757,129.2,4.1
2012,1,4,2,39,4,-21.883,-68.611,117.8,4.5
2011,12,22,16,41,16,-19.576,-69.332,107,4.7
2011,12,3,10,29,40,-21.615,-71.645,10,5
2011,11,29,14,22,53,-19.604,-69.244,105.1,4
2011,11,21,5,17,47,-18.863,-69.317,114.3,4.4
2011,11,5,8,41,43,-21.964,-68.51,116.4,4.3
2011,11,4,18,6,56,-19.431,-69.232,106.6,4.3
2011,10,22,11,2,56,-20.105,-68.531,123.7,5.1
2011,10,22,10,7,43,-18,-69.314,129.3,5.1
2011,10,21,8,25,9,-19.756,-69.31,99.7,4.6
2011,10,15,1,59,8,-20.705,-68.325,127.8,4.3
2011,10,9,9,55,16,-18.619,-69.534,116.8,4.5
2011,10,9,0,50,45,-21.028,-70.218,47.6,4.5
2011,10,6,14,56,34,-19.711,-69.25,101.6,4.9
2011,10,5,17,16,53,-20.874,-68.013,136,4.2
2011,10,4,8,57,52,-20.893,-70.888,37.9,4.7
2011,10,3,17,35,54,-20.07,-68.916,106.7,5
2011,10,3,5,17,9,-19.622,-70.64,40,4.6
2011,10,1,1,15,27,-19.643,-70.759,37.9,4.2
2011,9,9,16,32,10,-21.163,-68.833,124.8,4.4
2011,9,5,8,32,44,-20.958,-68.879,108,4.4
2011,9,2,21,23,51,-21.286,-68.989,102.7,4
