eventID,Agency,year,month,day,hour,minute,second,timeError,longitude,latitude,SemiMajor90,SemiMinor90,ErrorStrike,depth,depthError,magnitude,sigmaMagnitude,magnitudeType
,,1930,11,24,6,6,48.0,,-77.0,-2.0,,,,100.0,,6.2000000000000002,,
,,1930,12,24,6,2,47.0,,-66.0,-25.0,,,,35.0,,6.0,,
,,1931,1,16,16,52,3.0,,-85.0,15.75,,,,35.0,,5.5999999999999996,,
,,1931,2,7,3,30,35.0,,-87.0,13.0,,,,100.0,,5.7999999999999998,,
,,1931,3,7,0,41,56.0,,-85.5,11.5,,,,80.0,,6.0,,
,,1931,3,18,8,2,23.0,,-72.0,-32.5,,,,35.0,,7.0999999999999996,,
,,1931,3,31,16,2,21.0,,-85.75,13.25,,,,35.0,,5.5999999999999996,,
,,1931,4,3,1,56,11.0,,-79.0,-9.25,,,,35.0,,6.2000000000000002,,
,,1931,4,3,5,19,6.0,,-65.0,-27.0,,,,180.0,,6.2000000000000002,,
,,1931,5,1,22,36,52.0,,-69.75,8.25,,,,35.0,,6.2000000000000002,,
,,1931,5,20,21,53,54.0,,-71.5,-27.5,,,,35.0,,6.2000000000000002,,
,,1931,5,28,3,15,4.0,,-70.5,-20.5,,,,120.0,,6.5,,
,,1931,6,15,11,19,55.0,,-75.5,-14.5,,,,35.0,,6.0,,
,,1931,6,29,20,24,4.0,,-71.0,-29.5,,,,35.0,,6.0,,
,,1931,7,11,5,56,13.0,,-74.5,-8.5,,,,120.0,,6.2000000000000002,,
,,1931,7,18,5,27,5.0,,-69.0,-22.5,,,,150.0,,6.7999999999999998,,
,,1931,7,27,7,16,15.0,,-85.5,17.5,,,,35.0,,5.5999999999999996,,
,,1931,7,27,16,28,54.0,,-90.5,1.5,,,,35.0,,5.5999999999999996,,
,,1931,8,17,5,5,25.0,,-69.5,-32.5,,,,120.0,,5.7999999999999998,,
,,1931,8,25,22,20,42.0,,-89.5,12.5,,,,35.0,,5.5999999999999996,,
,,1931,9,12,15,41,32.0,,-77.5,5.0,,,,35.0,,6.2000000000000002,,
,,1931,9,26,19,50,30.0,,-92.0,15.0,,,,60.0,,6.0,,
,,1931,9,26,20,3,7.0,,-91.5,14.5,,,,35.0,,6.2000000000000002,,
,,1931,10,12,3,57,24.0,,-82.5,7.5,,,,35.0,,6.0,,
,,1931,12,20,14,59,42.0,,-84.5,11.0,,,,280.0,,5.7999999999999998,,
,,1932,1,20,2,30,50.0,,-77.5,-12.0,,,,100.0,,6.7999999999999998,,
,,1932,2,3,6,15,55.0,,-75.5,19.5,,,,35.0,,6.7999999999999998,,
,,1932,2,17,16,6,57.0,,-73.5,12.0,,,,35.0,,5.5999999999999996,,
,,1932,2,27,8,49,40.0,,-70.0,-22.5,,,,120.0,,5.5,,
,,1932,3,1,19,1,50.0,,-70.0,-36.5,,,,290.0,,5.5,,
,,1932,3,14,22,42,48.0,,-71.75,8.25,,,,35.0,,6.7999999999999998,,
,,1932,4,26,7,54,48.0,,-69.5,-25.0,,,,70.0,,6.5,,
,,1932,5,8,19,21,27.0,,-70.0,-32.0,,,,110.0,,5.5,,
,,1932,5,21,10,10,7.0,,-87.5,12.0,,,,90.0,,6.9000000000000004,,
,,1932,5,22,22,40,2.0,,-90.0,14.25,,,,80.0,,6.0,,
,,1932,5,30,0,22,45.0,,-69.0,-19.0,,,,160.0,,5.7999999999999998,,
,,1932,5,31,8,37,18.0,,-38.0,7.0,,,,35.0,,6.0,,
,,1932,6,6,11,49,55.0,,-76.5,19.5,,,,35.0,,6.0,,
,,1932,6,9,6,30,43.0,,-70.5,-27.5,,,,80.0,,5.7999999999999998,,
,,1932,6,11,13,11,32.0,,-71.0,-35.0,,,,80.0,,5.7999999999999998,,
,,1932,6,18,0,13,39.0,,-71.0,-20.0,,,,70.0,,6.2000000000000002,,
,,1932,6,20,9,1,47.0,,-89.0,12.5,,,,80.0,,6.0,,
,,1932,6,29,22,20,12.0,,-77.5,7.0,,,,35.0,,5.5999999999999996,,
,,1932,7,6,15,7,4.0,,-74.0,19.0,,,,35.0,,5.5999999999999996,,
,,1932,7,29,0,45,18.0,,-70.0,-19.0,,,,110.0,,6.0,,
,,1932,8,17,8,46,53.0,,-91.5,15.5,,,,40.0,,5.5999999999999996,,
,,1932,9,5,6,23,50.0,,-81.0,-6.0,,,,50.0,,6.0,,
,,1932,10,2,2,59,8.0,,-86.5,11.5,,,,35.0,,6.7999999999999998,,
,,1932,10,3,4,37,40.0,,-91.0,-1.0,,,,35.0,,5.5999999999999996,,
,,1932,11,1,10,38,54.0,,-70.0,-24.0,,,,100.0,,6.0,,
,,1932,11,29,11,11,5.0,,-71.0,-32.0,,,,110.0,,6.7999999999999998,,
,,1932,12,3,17,25,51.0,,-80.0,-45.0,,,,35.0,,5.5999999999999996,,
,,1932,12,9,8,34,55.0,,-75.0,-15.0,,,,75.0,,6.5,,
